ensGene	geneSymb	ESC.RPKM	MES.RPKM	CP.RPKM	CM.RPKM
ENSMUSG00000022940	Pigp	65.82064	4.594888	4.4401383	3.4817703
ENSMUSG00000022995	Enah	122.9846	37.072685	37.210255	43.321117
ENSMUSG00000023050	Map3k12	9.802861	7.600663	7.441545	7.530546
ENSMUSG00000023087	Ccrn4l	9.457543	1.5672675	1.2484413	1.8186926
ENSMUSG00000023243	Kcnk5	26.061554	5.1334143	2.9183521	1.7125053
ENSMUSG00000024014	Pim1	86.6039	5.977036	22.066183	45.78412
ENSMUSG00000024026	Glo1	52.686638	36.280903	37.68816	33.60073
ENSMUSG00000024096	Ralbp1	37.547962	22.590313	21.2162	17.407227
ENSMUSG00000024146	Cript	16.365942	13.998461	14.1699295	14.854101
ENSMUSG00000024231	Cul2	26.617304	16.640614	14.269975	12.862622
ENSMUSG00000024242	Map4k3	12.780901	10.394462	10.34665	10.868655
ENSMUSG00000024273	2700062C07Rik	10.802184	3.20613	3.9553063	2.2765086
ENSMUSG00000024317	Rnf138	22.006437	9.407772	7.8261476	5.7780695
ENSMUSG00000024359	Hspa9	238.70941	128.37192	68.21302	97.34657
ENSMUSG00000024376	Epb4.1l4a	17.283375	3.5645857	2.9766405	0.8941668
ENSMUSG00000024427	Spry4	18.079887	4.236198	3.109423	9.150919
ENSMUSG00000024436	Mrps18b	73.049065	27.923153	14.841023	21.387775
ENSMUSG00000024456	Diap1	33.711815	12.031175	8.682634	6.118791
ENSMUSG00000024525	Impa2	43.583996	16.34867	17.039812	31.385426
ENSMUSG00000024642	Tle4	34.953876	10.335382	5.859266	2.993206
ENSMUSG00000024773	Atg2a	12.050137	7.1621976	5.568059	7.5427823
ENSMUSG00000024780	Cdc37l1	18.43621	8.938365	9.064165	9.801378
ENSMUSG00000024812	Tjp2	71.53791	19.009642	19.534826	21.895071
ENSMUSG00000024989	Cep55	37.778248	6.7598557	8.761891	4.8267426
ENSMUSG00000025027	Xpnpep1	95.89495	64.71037	62.103085	78.21734
ENSMUSG00000025078	Nhlrc2	12.529588	10.339731	9.967586	10.296977
ENSMUSG00000025158	Rfng	14.846627	7.528108	7.3614335	5.5957193
ENSMUSG00000025266	Gnl3l	30.512228	15.68706	14.637934	9.862041
ENSMUSG00000025287	Acot9	7.6440525	3.1738515	2.3225403	1.515717
ENSMUSG00000025337	Sbds	33.604717	18.631775	17.57722	17.879953
ENSMUSG00000025423	Pias2	45.520954	16.292532	14.932129	16.58033
ENSMUSG00000025764	Phf17	102.50623	9.64452	7.8046055	7.317258
ENSMUSG00000025825	Iscu	9.448786	5.110211	4.639332	5.621954
ENSMUSG00000025925	Terf1	79.00624	28.006033	19.512623	8.977131
ENSMUSG00000025937	Lactb2	12.046592	6.675682	5.762595	4.9833407
ENSMUSG00000025981	Coq10b	7.3111205	3.2147686	2.9499638	3.7044027
ENSMUSG00000026082	Rev1	18.144466	12.528874	13.934342	13.235769
ENSMUSG00000026107	Obfc2a	18.158484	6.369638	5.680959	10.883441
ENSMUSG00000026172	Bcs1l	7.9507413	5.963799	4.985736	5.854038
ENSMUSG00000026202	Tuba4a	96.63438	14.809301	8.185462	21.605244
ENSMUSG00000026254	Eif4e2	18.886198	11.533442	8.888242	9.339123
ENSMUSG00000026456	Cyb5r1	50.118187	10.409336	7.3642964	7.105824
ENSMUSG00000026608	Kctd3	31.203156	19.556038	15.098413	18.06782
ENSMUSG00000026617	Bpnt1	29.585163	11.453534	7.987464	5.760219
ENSMUSG00000026784	Pdss1	4.8474503	2.085173	1.556071	0.94744825
ENSMUSG00000026788	Zbtb43	9.1682	5.359098	5.3649554	7.573063
ENSMUSG00000026958	Dpp7	5.6840706	3.196861	2.7800643	2.443986
ENSMUSG00000027173	Depdc7	5.6298127	1.6708865	0.84692144	0.8299409
ENSMUSG00000027206	Cops2	38.384842	32.159035	29.207153	29.22228
ENSMUSG00000027243	Harbi1	3.662785	2.772639	2.8341808	2.8542764
ENSMUSG00000027285	Haus2	12.540814	9.295685	8.750444	8.618564
ENSMUSG00000027387	Zc3h8	11.311847	4.263338	3.840006	2.2814217
ENSMUSG00000027397	Slc20a1	53.75898	18.178484	15.35178	11.980882
ENSMUSG00000027487	Cdk5rap1	5.685856	2.0820057	2.2025833	2.700602
ENSMUSG00000027573	2310003C23Rik	40.509846	16.420717	13.982669	10.695271
ENSMUSG00000027660	Skil	24.999634	9.634496	7.549245	13.254584
ENSMUSG00000027678	Ncoa3	42.430347	17.225025	13.308343	11.354854
ENSMUSG00000027680	Fxr1	92.97029	61.252518	66.13899	71.35237
ENSMUSG00000027751	Fam48a	23.573917	16.323769	15.949198	14.382933
ENSMUSG00000027810	Eif2a	17.503868	11.045883	8.93332	8.291672
ENSMUSG00000027834	Serpini1	2.5400906	0.2742874	0.5036921	0.14206164
ENSMUSG00000027944	Hax1	12.064565	6.1440177	5.4686966	4.187066
ENSMUSG00000028013	Ppa2	13.336272	7.76076	6.180515	6.425472
ENSMUSG00000028062	Robld3	34.731075	25.560154	24.649544	26.023045
ENSMUSG00000028179	Cth	32.502083	10.477237	1.7959987	0.25389457
ENSMUSG00000028397	Kdm4c	14.75629	2.3573306	3.3412871	8.56454
ENSMUSG00000028793	Rnf19b	27.658663	16.08004	10.953169	15.700114
ENSMUSG00000028811	Yars	37.96163	16.856909	13.09964	9.952852
ENSMUSG00000028821	Syf2	31.44564	19.338446	19.22897	25.79295
ENSMUSG00000029131	Dnajb6	5.0503106	2.6868956	3.277907	3.2017207
ENSMUSG00000029249	Rest	50.041634	19.080324	20.977215	13.885418
ENSMUSG00000029313	Aff1	12.705058	2.8940434	5.2356625	4.724705
ENSMUSG00000029403	Cdkl2	2.0808349	0.46616462	0.09348653	0.044730708
ENSMUSG00000029407	Uso1	24.47599	14.718567	14.762692	15.823422
ENSMUSG00000029472	Anapc5	105.21482	76.23036	82.60741	79.693886
ENSMUSG00000029512	Ulk1	41.675198	18.360468	20.523384	18.251245
ENSMUSG00000029672	Fam3c	41.737904	17.86785	14.837768	16.095945
ENSMUSG00000029720	Lrch4	29.328846	11.717407	18.45984	19.698051
ENSMUSG00000029752	Asns	105.53233	32.45517	26.859316	11.564276
ENSMUSG00000029777	Gars	202.0362	91.5508	59.604736	62.57365
ENSMUSG00000029833	Trim24	16.413828	7.2560472	8.958026	7.8610735
ENSMUSG00000029920	Smarcad1	33.446568	12.758033	12.356724	4.1855245
ENSMUSG00000029922	Mkrn1	129.5317	9.115366	7.0890713	8.54534
ENSMUSG00000029993	Nfu1	8.82128	2.601823	3.1644676	3.8105724
ENSMUSG00000030060	8430410A17Rik	36.387955	15.24745	10.362371	6.098903
ENSMUSG00000030127	Cops7a	69.96586	34.605835	27.262218	39.24995
ENSMUSG00000030189	Csda	220.22643	126.40702	104.08903	93.15905
ENSMUSG00000030232	Aebp2	14.750049	10.908997	10.368481	9.58847
ENSMUSG00000030291	Med21	10.908939	6.870073	6.12443	7.5588565
ENSMUSG00000030421	C80913	51.670082	24.121584	19.075754	14.011951
ENSMUSG00000030471	Zdhhc13	11.18777	7.6145363	8.620389	9.342935
ENSMUSG00000030619	Eed	67.53416	26.158682	14.426944	11.458789
ENSMUSG00000030643	Rab30	1.5870416	0.526274	0.48146513	0.6886393
ENSMUSG00000030722	Nfatc2ip	30.56652	6.492784	3.7724502	2.133803
ENSMUSG00000030878	Cdr2	15.072176	10.946954	10.836317	13.20011
ENSMUSG00000030970	Ctbp2	160.9629	55.43382	44.11856	24.401905
ENSMUSG00000031095	Cul4b	69.936935	28.229624	26.777424	14.318894
ENSMUSG00000031432	Prps1	50.396442	15.086346	11.532514	9.623834
ENSMUSG00000031533	Mrps31	33.712185	16.061167	15.113186	15.612403
ENSMUSG00000031575	Ash2l	53.80678	19.80129	20.67388	9.7172985
ENSMUSG00000031652	N4bp1	29.452303	19.749092	16.927414	17.300816
ENSMUSG00000031671	Setd6	20.417944	8.160204	6.962334	5.729501
ENSMUSG00000031709	Tbc1d9	4.3091784	2.5353358	2.8101625	2.7529542
ENSMUSG00000031714	Gab1	93.085785	13.776204	23.29673	44.68227
ENSMUSG00000031783	Polr2c	27.928717	20.07918	16.771442	18.856731
ENSMUSG00000031889	D230025D16Rik	13.431272	7.081774	5.5352454	8.907079
ENSMUSG00000031960	Aars	88.93485	29.341751	20.629543	11.25356
ENSMUSG00000032309	Fbxo22	50.66968	24.025389	16.761768	13.152437
ENSMUSG00000032342	Mto1	8.859809	4.4325056	2.9676003	4.456835
ENSMUSG00000032417	Rwdd2a	3.0079732	0.7732026	1.0095068	1.6664555
ENSMUSG00000032641	Gpr19	6.213099	4.1269727	4.4155173	4.7132673
ENSMUSG00000033382	Trappc8	12.4539995	8.718808	8.336162	8.297004
ENSMUSG00000033685	Ucp2	20.307924	10.991005	12.294093	16.517975
ENSMUSG00000033845	Mrpl15	30.15094	13.109435	8.578617	6.5766063
ENSMUSG00000033863	Klf9	48.78648	8.1623535	1.9530468	26.03275
ENSMUSG00000033985	Tesk2	10.948712	3.0454516	1.610467	0.7020001
ENSMUSG00000033991	Ttc37	12.160947	7.0842752	5.8347807	6.826613
ENSMUSG00000034042	Gpbp1l1	15.171568	10.217865	8.520363	10.877667
ENSMUSG00000034154	Ino80	16.7481	7.3223777	5.513042	4.1453915
ENSMUSG00000034247	Plekhm1	14.439908	5.490806	6.3254175	7.69049
ENSMUSG00000034518	Hmgxb4	27.0446	11.285307	11.006353	8.793321
ENSMUSG00000035234	Fam175a	4.6110983	3.2964225	3.5988433	3.31259
ENSMUSG00000035505	Cox18	16.993174	9.431194	7.975428	12.403473
ENSMUSG00000035530	Eif1	52.39782	38.693768	37.302597	45.9209
ENSMUSG00000036036	Zfp57	143.32516	25.310677	35.13084	25.314646
ENSMUSG00000036202	Rif1	44.266644	15.07866	11.664987	6.3461227
ENSMUSG00000036214	Znrd1as	7.0311146	3.0426116	3.0998654	3.124868
ENSMUSG00000036390	Gadd45a	41.559723	4.795351	4.0888805	6.7679925
ENSMUSG00000036737	Oxsr1	28.992636	16.337723	18.286064	19.004026
ENSMUSG00000036782	Klhl13	141.94362	8.153127	11.349281	14.305498
ENSMUSG00000036928	Stag3	9.049928	1.3889709	2.0628161	1.7984737
ENSMUSG00000037108	Zcwpw1	5.6730666	1.8373471	2.650863	2.2994866
ENSMUSG00000037434	Slc30a1	7.195338	2.20324	3.9010322	4.176804
ENSMUSG00000037486	Asxl2	5.697329	4.1792026	3.7970898	4.5161586
ENSMUSG00000037487	Ubr5	96.8302	38.463203	28.88761	27.802309
ENSMUSG00000037722	Gnpnat1	9.69846	3.679708	2.5109332	1.4082122
ENSMUSG00000037787	2810002N01Rik	19.484894	16.640478	17.459238	18.161045
ENSMUSG00000037851	Iars	71.33677	37.58651	24.665949	26.15208
ENSMUSG00000037857	Nufip2	27.19898	14.595926	12.13086	10.639433
ENSMUSG00000037876	Jmjd1c	27.220135	11.290993	13.315655	14.625652
ENSMUSG00000038095	Sbno1	25.97619	16.389065	14.536355	14.10996
ENSMUSG00000038172	Ttc39b	10.632807	0.59498876	0.42226315	0.6379441
ENSMUSG00000038344	Txlng	5.160191	1.5751312	1.3598487	0.8402483
ENSMUSG00000038518	Jarid2	130.04913	27.148981	38.977932	54.242935
ENSMUSG00000038533	Cbfa2t2	13.060143	6.692583	7.8786387	7.557099
ENSMUSG00000038569	Rad9b	4.754355	1.5903463	2.69608	2.9093506
ENSMUSG00000038587	Akap12	164.46667	24.915503	39.470093	37.730946
ENSMUSG00000038612	Mcl1	139.22249	52.706184	52.521336	45.540802
ENSMUSG00000038683	Pak1ip1	65.854485	31.219355	23.859177	21.37964
ENSMUSG00000038697	Taf5l	41.907967	18.234045	12.101832	10.981615
ENSMUSG00000038816	Ctnnal1	18.845476	6.233587	6.765997	2.9253237
ENSMUSG00000038909	Myst2	49.590775	22.234951	17.5496	14.364626
ENSMUSG00000039018	Mtg1	5.921467	3.2988927	3.3671415	3.6023715
ENSMUSG00000039117	Taf4a	15.4454565	8.937474	8.17283	6.950702
ENSMUSG00000039191	Rbpj	17.497118	5.1216645	5.8034506	5.897439
ENSMUSG00000039201	Tbc1d25	9.947953	4.563302	3.9722729	3.323251
ENSMUSG00000039456	Morc3	43.60895	17.99215	14.524895	10.305501
ENSMUSG00000039478	Efha2	2.366513	1.0739492	1.1957697	1.6020285
ENSMUSG00000040010	Slc7a5	98.403	34.802174	21.497715	13.342864
ENSMUSG00000040054	Baz2a	54.441402	31.142982	30.470564	23.53035
ENSMUSG00000040268	Plekha1	11.642084	7.6521945	7.31706	9.586941
ENSMUSG00000040274	Cdk6	12.273901	7.0698276	6.0994325	6.2698655
ENSMUSG00000040302	C030048B08Rik	5.803814	3.9089835	3.0847452	3.5034196
ENSMUSG00000040414	Slc25a28	25.792904	15.115721	14.4369	16.79451
ENSMUSG00000040428	Plekha4	2.1842368	0.0925096	0.3096798	0.11870457
ENSMUSG00000040472	Rabggta	24.172901	10.946036	8.926266	8.52902
ENSMUSG00000040532	Abhd11	21.533167	9.017992	9.320164	12.751963
ENSMUSG00000040669	Phc1	166.30605	37.51059	28.709774	15.891157
ENSMUSG00000041278	Ttc1	20.289026	15.65458	14.873924	14.564491
ENSMUSG00000041308	Sntb2	10.743593	5.9732437	4.7707663	4.7221274
ENSMUSG00000041355	Ssr2	183.7365	81.71904	82.58065	100.96828
ENSMUSG00000041488	Stx3	19.45618	6.1474347	4.163841	4.7625494
ENSMUSG00000041712	Ubr7	60.36078	28.204922	26.58067	26.819683
ENSMUSG00000041718	Alg13	41.66756	7.601383	3.807252	3.1497228
ENSMUSG00000041769	Ppp2r2d	20.314133	8.870045	5.9306264	5.34622
ENSMUSG00000041773	Enc1	50.55454	16.363981	14.494125	17.666412
ENSMUSG00000041817	Fam169a	37.665974	6.4350414	8.391896	12.085806
ENSMUSG00000041949	Tmco7	13.198175	7.0793743	5.9797683	4.895965
ENSMUSG00000042185	Nfrkb	6.418674	4.2711053	5.0884886	4.923266
ENSMUSG00000042207	Kdm5b	78.460396	35.414444	41.961826	41.852757
ENSMUSG00000042271	Nxt2	2.056213	0.83337766	1.2101952	1.2163634
ENSMUSG00000042406	Atf4	193.25148	91.977806	84.34511	109.39067
ENSMUSG00000042549	Gm16516	2.2619338	0.97509485	0.8250104	1.6711862
ENSMUSG00000043411	Usp48	37.03247	16.280655	14.483358	10.948399
ENSMUSG00000043923	Ccdc84	6.320127	4.4054527	4.431732	4.1111994
ENSMUSG00000044150	A830080D01Rik	7.338693	1.8064886	1.9021645	0.9140589
ENSMUSG00000044224	Dnajc21	26.727488	5.199504	3.463986	4.157013
ENSMUSG00000044339	Alkbh2	18.035212	7.42542	7.43423	7.172592
ENSMUSG00000044387	2410080I02Rik	1.506888	0.11694978	0.14914072	0.8731068
ENSMUSG00000044730	9930104L06Rik	5.844527	4.303752	3.8712668	3.7007256
ENSMUSG00000044968	Napepld	5.046323	2.3090782	1.6232059	1.7360612
ENSMUSG00000045005	Fzd5	19.560858	6.120079	4.0621223	2.2488244
ENSMUSG00000045822	Zswim3	7.554156	5.1953263	5.70011	5.215128
ENSMUSG00000046179	E2f8	10.903274	4.1526337	4.2255816	2.1284828
ENSMUSG00000046873	Mbtps2	4.997245	3.766422	3.7215214	3.392994
ENSMUSG00000046909	1110002N22Rik	18.033278	7.5966706	6.2039213	4.7341714
ENSMUSG00000046994	Mars2	10.646695	6.3027315	4.0946193	4.6610117
ENSMUSG00000047388	Atmin	26.636988	12.211376	12.07957	14.762876
ENSMUSG00000047412	Zbtb44	24.558363	8.2121725	5.671669	8.808186
ENSMUSG00000047446	Arl4a	5.3293695	1.4167006	1.623583	2.3322105
ENSMUSG00000047459	Dynlrb1	47.594948	42.03516	43.78396	44.54516
ENSMUSG00000047466	8030462N17Rik	16.671408	10.619301	10.256086	9.6301985
ENSMUSG00000047649	Cd3eap	28.343586	16.274075	9.742915	11.270049
ENSMUSG00000047793	Sned1	2.8778534	0.5001961	0.78958476	0.89381343
ENSMUSG00000048787	Dcun1d3	4.45943	2.7969532	2.6054425	3.2232146
ENSMUSG00000048874	Phf3	25.828943	17.614933	16.74279	15.915028
ENSMUSG00000048930	Tada3	16.073065	9.13148	8.697942	7.4995165
ENSMUSG00000049507	4930429B21Rik	2.7153847	0.6311911	0.547971	0.768007
ENSMUSG00000049969	Plekhf2	41.75084	12.894262	8.919292	5.638617
ENSMUSG00000050199	Lgr4	16.350422	6.4210677	4.01642	9.408703
ENSMUSG00000050628	Fam100b	13.446721	9.512781	9.128638	9.157577
ENSMUSG00000051065	1600021P15Rik	17.779219	9.339017	9.45969	10.647638
ENSMUSG00000051285	Pcmtd1	9.069396	4.4862657	4.2115	6.0521293
ENSMUSG00000052253	Zfp622	72.745445	44.665287	37.57743	41.34581
ENSMUSG00000052397	Ezr	88.398285	14.052502	21.394995	25.317034
ENSMUSG00000052566	Hook2	23.170618	6.8210883	7.3020544	7.6911435
ENSMUSG00000053470	Kdm3a	42.080627	21.284958	24.744146	23.351616
ENSMUSG00000053581	Zfand2a	6.8490477	4.803351	4.5941205	5.918121
ENSMUSG00000053656	2700023E23Rik	8.435932	3.9350162	2.131835	2.1570873
ENSMUSG00000054091	1810037I17Rik	34.471516	12.192188	20.968594	23.83306
ENSMUSG00000054099	Slc25a40	1.7008048	0.5355019	0.8119861	0.9171949
ENSMUSG00000054302	Eapp	21.991646	17.20065	16.524977	18.26283
ENSMUSG00000054808	Actn4	192.83861	69.82007	79.86385	102.23343
ENSMUSG00000055041	Commd5	29.485556	19.291819	21.696644	20.437551
ENSMUSG00000055148	Klf2	164.8939	0.996131	6.7193265	3.6144176
ENSMUSG00000055334	Snupn	9.084338	6.149322	6.1699867	6.4396725
ENSMUSG00000055817	Mta3	34.166817	10.94222	8.774007	12.637044
ENSMUSG00000055839	Tceb2	49.515003	37.149086	28.325333	33.910187
ENSMUSG00000055991	Zkscan5	10.391189	7.52112	7.8660693	8.765428
ENSMUSG00000056131	Pgm3	9.987438	7.3511715	5.986998	6.907541
ENSMUSG00000057421	Las1l	18.502617	11.677687	7.8213434	9.177593
ENSMUSG00000057666	Gapdh	12.678403	9.190602	9.1328335	8.608487
ENSMUSG00000057982	Zfp809	13.204931	4.4564657	4.571067	5.837388
ENSMUSG00000058447	Zfp82	3.5980682	3.0144815	3.001457	2.9267423
ENSMUSG00000058638	Zfp110	20.78409	8.085219	8.831859	6.6303935
ENSMUSG00000058748	Zfp958	4.784285	3.1649256	3.2558916	3.0189166
ENSMUSG00000059288	Cdyl	14.118598	8.302102	7.1334896	6.442857
ENSMUSG00000059975	Zfp74	6.007874	3.2230258	3.5520408	3.3324027
ENSMUSG00000060036	Rpl3	20.46022	8.238301	6.026163	2.8436415
ENSMUSG00000060981	Hist1h4h	2.118102	0.68676895	0.7882246	0.5047068
ENSMUSG00000062580	Timm17a	36.185722	18.825497	18.45659	19.634918
ENSMUSG00000062647	Rpl7a	14.118042	8.846811	10.263676	9.719811
ENSMUSG00000062691	1110001A16Rik	10.267062	5.207264	5.0793886	6.275455
ENSMUSG00000063200	Nol7	38.596317	20.416681	20.516071	15.150495
ENSMUSG00000063524	Eno1	34.537098	23.07296	19.898432	21.00825
ENSMUSG00000064380	SNORA73.1	11.638779	2.464587	1.5968342	0.61208874
ENSMUSG00000064387	Snora73a	25.104113	5.964439	4.6979327	1.2278064
ENSMUSG00000064602	Snora41	8.245621	3.3011734	2.8065572	2.4816573
ENSMUSG00000064612	SNORD51.1	3.403446	0.82764465	1.1873896	1.0137273
ENSMUSG00000064796	Telomerase-vert.1	2.165171	0.53415364	0.5473782	0.026704064
ENSMUSG00000064901	Snora21	7.5571404	3.6519065	2.028096	2.061281
ENSMUSG00000065160	SNORD79.1	13.115422	3.8426359	4.5940666	2.4205327
ENSMUSG00000065258	SNORD24.2	16.681484	6.760962	6.675055	7.9376025
ENSMUSG00000065287	SNORA51.4	23.85227	8.615594	4.410304	2.1232743
ENSMUSG00000065734	Snord49a	25.440758	10.311072	6.4316936	3.4515004
